Sun Mar  5 22:17:58 2023    output.dat

         154435388 function calls (149192969 primitive calls) in 851.703 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      331    0.030    0.000  851.360    2.572 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/Trajectory.py:65(integrate)
    17424    0.029    0.000    0.029    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    13138    0.025    0.000    0.025    0.000 {method 'argsort' of 'numpy.ndarray' objects}
   112819    0.025    0.000    0.025    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/common.py:88(float_fmt)
    17424    0.024    0.000    0.727    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:822(get_step_interpolant)
    33651    0.023    0.000    0.055    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numerictypes.py:356(issubdtype)
    13138    0.022    0.000    0.022    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:136(<listcomp>)
    13138    0.022    0.000    0.064    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1012(argsort)
    34848    0.020    0.000    0.020    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:541(constants)
    17424    0.020    0.000    0.023    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:237(__len__)
    19734    0.020    0.000    0.020    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:60(stages)
41405/41081    0.019    0.000    0.021    0.000 {built-in method builtins.getattr}
    67302    0.019    0.000    0.029    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numerictypes.py:282(issubclass_)
    17424    0.019    0.000    0.119    0.000 <__array_function__ internals>:177(nonzero)
    73999    0.018    0.000    0.018    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/backend/common.py:41(backend)
       62    0.018    0.000    0.248    0.004 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyvista/plotting/plotting.py:4939(add_lines)
      662    0.017    0.000    0.054    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:85(<listcomp>)
    17424    0.016    0.000    0.079    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
      662    0.016    0.000    0.056    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:86(<listcomp>)
    18086    0.016    0.000    0.016    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:661(__move_to_device)
    13138    0.016    0.000    0.096    0.000 <__array_function__ internals>:177(argsort)
    19151    0.016    0.000    0.022    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3163(size)
    52998    0.015    0.000    0.015    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/multiarray.py:1071(copyto)
        3    0.015    0.005    0.015    0.005 {method 'Update' of 'vtkmodules.vtkCommonExecutionModel.vtkAlgorithm' objects}
    53927    0.015    0.000    0.015    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:585(dt)
      662    0.014    0.000    0.030    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:106(<listcomp>)
      331    0.013    0.000    0.024    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/scipy/linalg/_basic.py:40(solve)
   102367    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
    13293    0.013    0.000    0.013    0.000 {built-in method __new__ of type object at 0x103f029e0}
    52272    0.013    0.000    0.013    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:214(_ones_like_dispatcher)
    35172    0.013    0.000    0.013    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:119(adaptive)
    52934    0.012    0.000    0.012    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/multiarray.py:80(empty_like)
    18410    0.011    0.000    0.011    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:135(implicit)
       18    0.011    0.001    0.011    0.001 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/json/encoder.py:204(iterencode)
      662    0.011    0.000    0.175    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:74(__init__)
    17424    0.010    0.000    0.010    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:78(<lambda>)
    37201    0.009    0.000    0.009    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2302(_any_dispatcher)
    35498    0.009    0.000    0.009    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2672(_amax_dispatcher)
    19151    0.008    0.000    0.039    0.000 <__array_function__ internals>:177(size)
    18417    0.008    0.000    0.008    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:599(t0)
      331    0.008    0.000    0.023    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/function_base.py:23(linspace)
    18748    0.008    0.000    0.008    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:627(tf)
      331    0.007    0.000    0.015    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/utilities.py:71(<listcomp>)
       64    0.007    0.000    0.016    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/panel/pane/vtk/synchronizable_serializer.py:1085(polydataSerializer)
      331    0.007    0.000    0.208    0.001 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:406(__init__)
     2762    0.007    0.000    0.189    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyvista/plotting/colors.py:715(__init__)
    17424    0.007    0.000    0.007    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/optimizer.py:152(<listcomp>)
      331    0.006    0.000    0.089    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/utilities.py:49(__init__)
    18763    0.006    0.000    0.006    0.000 {method 'keys' of 'dict' objects}
        1    0.006    0.006  852.086  852.086 /var/folders/1q/7vjhndg54wl3ndml8n9wc8m40000gn/T/ipykernel_1012/432444637.py:3(run)
       64    0.006    0.000    0.040    0.001 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/panel/pane/vtk/synchronizable_serializer.py:649(genericProp3DSerializer)
      662    0.006    0.000    0.007    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:689(__alloc_space_steps)
